0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,Label
36,28,22,7,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,9,15,20,24,14,8,7,38,25,13,12,5,5,1,0,1,0,0,0,0,0,0,0,Class_2
43,21,18,12,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,9,12,20,22,20,11,3,49,22,21,4,3,0,1,0,0,0,0,0,0,0,0,0,Class_2
50,24,15,6,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,6,4,7,21,22,24,7,5,44,22,18,6,7,2,1,0,0,0,0,0,0,0,0,0,Class_2
47,20,24,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14,25,21,21,5,4,48,29,10,9,3,0,1,0,0,0,0,0,0,0,0,0,Class_2
55,17,18,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,12,21,21,18,15,3,53,18,15,12,1,0,1,0,0,0,0,0,0,0,0,0,Class_2
51,18,13,9,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,14,22,22,14,10,5,47,22,11,9,6,2,2,1,0,0,0,0,0,0,0,0,Class_2
61,15,15,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,13,25,24,17,10,4,50,31,8,6,2,1,1,1,0,0,0,0,0,0,0,0,Class_2
34,35,17,8,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,20,26,21,19,3,3,43,21,20,12,2,0,0,1,1,0,0,0,0,0,0,0,Class_2
50,22,13,10,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,12,26,24,17,11,5,48,19,14,8,6,3,1,1,0,0,0,0,0,0,0,0,Class_2
36,24,17,11,4,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,20,18,16,17,18,8,40,21,18,13,0,4,2,0,1,1,0,0,0,0,0,0,Class_2
40,29,19,6,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,9,17,17,25,19,5,36,28,23,6,4,1,2,0,0,0,0,0,0,0,0,0,Class_2
47,19,22,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,17,23,24,23,8,0,47,21,20,11,0,1,0,0,0,0,0,0,0,0,0,0,Class_2
59,24,10,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,21,27,19,16,5,51,30,11,3,3,1,1,0,0,0,0,0,0,0,0,0,Class_2
45,23,16,9,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,15,26,22,13,15,3,42,15,24,9,4,4,0,2,0,0,0,0,0,0,0,0,Class_2
42,23,21,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,11,20,27,26,10,1,48,23,21,5,3,0,0,0,0,0,0,0,0,0,0,0,Class_2
47,29,11,7,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,13,19,25,22,11,5,40,32,16,6,1,2,2,0,0,1,0,0,0,0,0,0,Class_2
45,30,18,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,31,20,21,9,4,63,22,10,3,2,0,0,0,0,0,0,0,0,0,0,0,Class_2
53,29,12,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,25,30,21,8,3,57,28,12,0,0,1,1,1,0,0,0,0,0,0,0,0,Class_2
37,26,27,5,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,15,17,26,22,5,3,40,26,18,8,4,2,1,0,1,0,0,0,0,0,0,0,Class_2
35,27,19,12,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,12,22,26,13,9,5,36,20,18,9,8,5,1,1,1,0,0,0,1,0,0,0,Class_2
55,18,17,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,9,23,19,28,10,2,44,27,16,6,4,1,2,0,0,0,0,0,0,0,0,0,Class_2
55,21,16,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,21,17,27,10,9,2,55,23,15,5,1,1,0,0,0,0,0,0,0,0,0,0,Class_2
68,16,2,1,1,4,2,1,2,0,1,1,0,1,0,0,56,24,6,1,0,3,2,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,4,11,19,14,15,18,5,12,Class_3
50,21,12,2,4,5,2,1,2,0,0,0,1,0,0,0,59,23,4,3,1,5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,24,24,21,8,4,11,Class_3
62,22,4,0,1,3,0,3,0,3,0,0,2,0,0,0,74,12,1,1,2,2,0,3,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,7,14,28,24,10,4,11,Class_3
